number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,kôaⁿ-liû,kôaⁿ7-liû,寒流,寒流,cold wave / cold front (weather),
2,khiâ,khiâ,騎,騎,to ride (bicycle / motorcycle / horse),
3,kha-ta̍h-chhia,kha7-ta̍h3-chhia,跤踏車,自行車/腳踏車,bicycle,"Lit. ""foot-step-vehicle""."
4,ūn-tōng,ūn3-tōng,運動,運動,exercise / sports / physical activity,
5,hiu-hân,hiu7-hân,休閒,休閒,leisure / leisure-time,
6,oa̍h-tāng,oa̍h3-tāng,活動,活動,activity / event,
7,nâ-kîu,nâ7-kîu,籃球,籃球,basketball,
8,i-seng,i7-seng,醫生,醫生,doctor / physician,
9,hoan-hù,hoan7-hù,吩咐,吩咐,to instruct / to order (someone to do),
10,sàn-pō·,sàn2-pō·,散步,散步,to take a walk / to stroll,
11,kong-lō·-chhia,kong7-lō·3-chhia,公路車,公路車,road bike (cycling),
12,chhia-iú,chhia7-iú,車友,車友,fellow cyclist / cycling buddy,
13,chi̍p-ha̍p,chi̍p3-ha̍p,集合,集合,to gather / to assemble,
14,iû-lám-chhia,iû7-lám1-chhia,遊覽車,遊覽車,tour bus / coach,
15,kì-liām kong-hn̂g,kì2-liām kong7-hn̂g,紀念公園,紀念公園,memorial park,
16,súi,súi,媠,美麗/漂亮,beautiful / good-looking,
17,liam-mi,liam7-mi,連鞭,馬上/立刻,immediately / right away,
18,siau-sit,siau7-sit,消失,消失,to disappear / to vanish,
19,chhia-tūi,chhia7-tūi,車隊,車隊,cycling team / peloton / convoy,
20,lú-hêng,lú1-hêng,旅行,旅行,travel / to travel,
21,pòaⁿ-tó,pòaⁿ2-tó,半島,半島,peninsula,
22,khoân-tó,khoân7-tó,環島,環島,to go around the island (cycling/touring Taiwan),
23,Phêⁿ-ô·,Phêⁿ7-ô·,澎湖,澎湖,Penghu (island chain in the Taiwan Strait),
24,Kim-mn̂g,Kim7-mn̂g,金門,金門,Kinmen (island chain near mainland China),
25,Hêng-chhun,Hêng7-chhun,恆春,恆春,Hengchun (town in Pingtung County at southern Taiwan),
26,tâm-kô·,tâm7-kô·,澹糊,濕透,drenched / soaking wet,
27,sim-koaⁿ-té,sim7-koaⁿ7-té,心肝底,心底,deep in the heart / inwardly,
28,thoân-thé,thoân7-thé,團體,團體,group / collective body,
29,kéng-tì,kéng1-tì,景緻,景色,scenery / view,
30,kì-liām,kì2-liām,紀念,紀念,to commemorate / memorial,
31,kín-tiuⁿ,kín1-tiuⁿ,緊張,緊張,nervous / tense,
32,Bó·-tan-siā,Bó·1-tan7-siā,牡丹社,牡丹社,"Botan / Mudan (a Paiwan community in Pingtung)",
33,Pîn-tang,Pîn7-tang,屏東,屏東,Pingtung (county in southern Taiwan),
34,kang-liâu,kang7-liâu,工寮,工寮,work shed / field hut,
35,pîⁿ-tē,pîⁿ7-tē,平地,平地,flatland / lowlands,
36,soaⁿ-tē,soaⁿ7-tē,山地,山地,mountain area / highlands,
37,mê,mê,暝,夜,night,
38,chhoán,chhoán,喘,喘,to pant / breathe heavily,
39,lâu-kōaⁿ,lâu7-kōaⁿ,流汗,流汗,to sweat,
40,koáⁿ-kín,koáⁿ1-kín,趕緊,趕快,to hurry / quickly,
41,oē-bīn,oē3-bīn,畫面,畫面,scene / picture / image,
42,sim-koaⁿ-thâu,sim7-koaⁿ7-thâu,心肝頭,心頭,heart / inmost feelings,
43,lō·-tô·,lō·3-tô·,路途,路途,road / journey / route,
44,sū-kiāⁿ,sū3-kiāⁿ,事件,事件,incident / event (historical),
45,tiōng-iàu,tiōng3-iàu,重要,重要,important / significant,
46,bóe-chhiú,bóe1-chhiú,尾手,最後,finally / in the end / eventually,
47,ōaⁿ,ōaⁿ,換,換,to change / exchange / swap,
48,ke-kiám,ke7-kiám,加減,多少,to varying degrees / somewhat / a little (idiomatic),
49,thiah-khui,thiah2-khui,拆開,拆開,to take apart / disassemble,
50,kong-lō·,kong7-lō·,公路,公路,public road / highway,
51,soaⁿ-téng,soaⁿ7-téng,山頂,山頂,mountaintop / summit,
52,ak,ak,沃,澆/淋,to soak / pour water on,
53,hiaⁿ-tī,hiaⁿ7-tī,兄弟,兄弟,brothers (also used metaphorically for close friends),
54,chá-tǹg,chá1-tǹg,早頓,早餐,breakfast,
